category,city,container,customer_id,customer_name,customer_segment,department,item,item_id,order_date,order_id,order_priority,postal_code,region,row_id,ship_date,ship_mode,state,days_to_ship,discount,kpi_-_profit_ratio,number_of_records,order_quantity,product_base_margin,profit,profit_ratio,sales,shipping_cost,unit_price,profit_margin,profit_per_unit
Paper,Euclid,Small Box,1439,Kyle Kaufman,Corporate,Office Supplies,Xerox 1894,10713,2013-04-26,90121,Critical,44117,East,23415,2013-04-27,Regular Air,Ohio,1,0.05,Poor,1,3,0.37,-29,-1.381,21,6,6,-1.380952380952381,-9.666666666666666
Labels,Grand Forks,Small Box,2912,Hannah Carver,Home Office,Office Supplies,Avery 491,11115,2013-04-26,87396,High,58201,Central,21290,2013-04-28,Express Air,North Dakota,2,0.04,Acceptable,1,7,0.39,22,0.6875,32,1,4,0.6875,3.142857142857143
Pens & Art Supplies,Newton,Wrap Bag,234,Don Cameron,Small Business,Office Supplies,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",10634,2013-04-26,90239,Low,50208,Central,22044,2013-04-28,Express Air,Iowa,2,0.06,Poor,1,8,0.54,-176,-6.5185,27,7,3,-6.518518518518518,-22.0
Paper,Grand Forks,Small Box,2912,Hannah Carver,Home Office,Office Supplies,Xerox 194,11067,2013-04-26,87396,High,58201,Central,21291,2013-04-28,Regular Air,North Dakota,2,0.06,Acceptable,1,12,0.37,443,0.69,642,14,55,0.6900311526479751,36.916666666666664
"Scissors, Rulers and Trimmers",Pawtucket,Small Pack,1226,Ken Cash,Small Business,Office Supplies,Acme® Elite Stainless Steel Scissors,10741,2013-04-26,90800,Medium,2861,East,25631,2013-04-28,Regular Air,Rhode Island,2,0.02,Poor,1,8,0.59,7,0.1045,67,3,8,0.1044776119402985,0.875
Chairs & Chairmats,Boston,Jumbo Drum,1217,Billy Perry Browning,Small Business,Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",10712,2013-04-26,54595,Medium,2112,East,7632,2013-04-29,Delivery Truck,Massachusetts,3,0.09,Poor,1,41,0.78,-422,-0.0802,5259,30,131,-0.08024339227990113,-10.292682926829269
Chairs & Chairmats,South Burlington,Jumbo Drum,1227,Elsie Hwang,Small Business,Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",10712,2013-04-26,90800,Medium,5403,East,25632,2013-04-29,Delivery Truck,Vermont,3,0.09,Poor,1,10,0.78,-422,-0.3289,1283,30,131,-0.3289166017147311,-42.2
Storage & Organization,Whittier,Small Box,782,Sarah N Becker,Small Business,Office Supplies,Home/Office Personal File Carts,10132,2013-04-27,90962,High,90604,West,20434,2013-04-28,Regular Air,California,1,0.04,Acceptable,1,8,0.6,193,0.6918,279,5,35,0.6917562724014337,24.125
Telephones and Communication,Pullman,Small Box,3393,Irene Murphy,Consumer,Technology,StarTAC 3000,10780,2013-04-27,87908,Medium,99163,West,18640,2013-04-28,Regular Air,Washington,1,0.08,Acceptable,1,7,0.59,375,0.5282,710,8,126,0.528169014084507,53.57142857142857
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,Item 10723,10723,2013-04-28,87954,Critical,2129,East,24387,2013-04-29,Express Air,Massachusetts,1,0.06,Acceptable,1,9,0.58,288,0.5692,506,9,66,0.5691699604743083,32.0
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,Item 10723,10723,2013-04-28,45380,Critical,98119,West,6387,2013-04-29,Express Air,Washington,1,0.06,Acceptable,1,34,0.58,288,0.1505,1913,9,66,0.1505488761108207,8.470588235294118
Pens & Art Supplies,North Las Vegas,Small Pack,2823,Max Hurley,Corporate,Office Supplies,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,11121,2013-04-28,87240,Low,89031,West,23803,2013-04-30,Regular Air,Nevada,2,0.02,Acceptable,1,11,0.55,166,0.6917,240,3,22,0.6916666666666667,15.090909090909092
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,KH 688,10346,2013-04-28,87954,Critical,2129,East,24388,2013-04-30,Express Air,Massachusetts,2,0.0,Acceptable,1,6,0.57,719,0.6894,1043,4,196,0.6893576222435283,119.83333333333333
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,KH 688,10346,2013-04-28,45380,Critical,98119,West,6388,2013-04-30,Express Air,Washington,2,0.0,Acceptable,1,24,0.57,1031,0.2472,4171,4,196,0.2471829297530568,42.958333333333336
Storage & Organization,Austin,Small Box,381,Danielle Watts,Corporate,Office Supplies,Deluxe Rollaway Locking File with Drawer,10091,2013-04-29,88929,Not Specified,78745,Central,22401,2013-04-29,Regular Air,Texas,0,0.07,Poor,1,1,0.57,-540,-1.3671,395,11,416,-1.3670886075949367,-540.0
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,Presstex Flexible Ring Binders,11131,2013-04-29,86949,Critical,30328,South,20198,2013-04-29,Regular Air,Georgia,0,0.03,Acceptable,1,9,0.35,100,2.5,40,1,5,2.5,11.11111111111111
Office Furnishings,West Valley City,Small Pack,1383,Christina Hanna,Consumer,Furniture,Eldon Pizzaz™ Desk Accessories,11212,2013-04-29,89406,Medium,84120,West,19018,2013-04-30,Regular Air,Utah,1,0.03,Poor,1,12,0.41,-93,-3.2069,29,5,2,-3.206896551724138,-7.75
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,Xerox 1922,10534,2013-04-29,88959,Critical,37421,South,19907,2013-04-30,Regular Air,Tennessee,1,0.06,Poor,1,10,0.36,-38,-0.717,53,7,5,-0.7169811320754716,-3.8
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,Fellowes Binding Cases,11238,2013-04-29,86949,Critical,30328,South,20197,2013-05-01,Regular Air,Georgia,2,0.01,Acceptable,1,16,0.4,39,0.198,197,6,12,0.19796954314720813,2.4375
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,Xerox 210,10828,2013-04-29,88959,Critical,37421,South,19908,2013-05-01,Regular Air,Tennessee,2,0.01,Poor,1,18,0.37,-450,-3.6585,123,7,6,-3.658536585365854,-25.0
Office Furnishings,Oxford,Small Box,1271,Joanne Church,Corporate,Furniture,Hand-Finished Solid Wood Document Frame,10731,2013-04-29,88411,Low,1540,East,19398,2013-05-04,Regular Air,Massachusetts,5,0.1,Acceptable,1,7,0.55,152,0.6909,220,5,34,0.6909090909090909,21.714285714285715
Paper,Oxford,Wrap Bag,2531,Rick Houston,Small Business,Office Supplies,EcoTones® Memo Sheets,11045,2013-04-30,87452,Medium,1540,East,23782,2013-05-02,Regular Air,Massachusetts,2,0.08,Acceptable,1,14,0.37,28,0.5385,52,1,4,0.5384615384615384,2.0
Office Furnishings,Alamogordo,Small Box,1869,Roberta Daniel,Consumer,Furniture,"6"" Cubicle Wall Clock, Black",10230,2013-05-01,89209,Not Specified,88310,West,18879,2013-05-02,Regular Air,New Mexico,1,0.08,Poor,1,10,0.49,-89,-1.1125,80,8,8,-1.1125,-8.9
Office Furnishings,Fairfield,Large Box,1680,Esther Whitaker,Consumer,Furniture,Electrix Fluorescent Magnifier Lamps & Weighted Base,10940,2013-05-01,86645,Low,45014,East,23525,2013-05-03,Regular Air,Ohio,2,0.03,Acceptable,1,17,0.57,555,0.6793,817,10,49,0.6793145654834761,32.64705882352941
Envelopes,Fairfield,Small Box,1680,Esther Whitaker,Consumer,Office Supplies,Staples Colored Interoffice Envelopes,10308,2013-05-01,86645,Low,45014,East,23524,2013-05-03,Regular Air,Ohio,2,0.09,Poor,1,18,0.36,-164,-0.3184,515,20,31,-0.31844660194174756,-9.11111111111111
Office Furnishings,Medford,Small Box,335,Curtis O'Connell,Corporate,Furniture,"Eldon® 200 Class™ Desk Accessories, Burgundy",10324,2013-05-02,87277,Critical,97504,West,18262,2013-05-02,Regular Air,Oregon,0,0.09,Poor,1,1,0.43,-5,-0.5556,9,5,6,-0.5555555555555556,-5.0
Telephones and Communication,Eagle,Small Box,3356,Charles Ryrie,Corporate,Technology,Item 10171,10171,2013-05-02,88588,Medium,83616,West,18630,2013-05-02,Express Air,Idaho,0,0.04,Acceptable,1,15,0.56,605,0.6899,877,6,66,0.6898517673888256,40.333333333333336
Chairs & Chairmats,Eagle,Jumbo Drum,3356,Charles Ryrie,Corporate,Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,10814,2013-05-02,88588,Medium,83616,West,18629,2013-05-03,Delivery Truck,Idaho,1,0.03,Acceptable,1,18,0.62,1305,0.4448,2934,30,161,0.4447852760736196,72.5
Chairs & Chairmats,Medford,Large Box,335,Curtis O'Connell,Corporate,Furniture,SAFCO Arco Folding Chair,10512,2013-05-02,87277,Critical,97504,West,18261,2013-05-03,Regular Air,Oregon,1,0.06,Acceptable,1,14,0.0,2639,0.6899,3825,24,276,0.6899346405228758,188.5
Binders and Binder Accessories,Eagle,Small Box,3356,Charles Ryrie,Corporate,Office Supplies,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",10059,2013-05-02,88588,Medium,83616,West,18628,2013-05-04,Regular Air,Idaho,2,0.07,Poor,1,13,0.39,-116,-1.7313,67,6,5,-1.7313432835820894,-8.923076923076923
Storage & Organization,Oxford,Small Box,411,Carolyn Proctor,Consumer,Office Supplies,"Hot File® 7-Pocket, Floor Stand",10724,2013-05-02,87905,High,1540,East,18428,2013-05-05,Express Air,Massachusetts,3,0.05,Acceptable,1,9,0.55,943,0.6159,1531,20,178,0.6159372958850424,104.77777777777777
Appliances,Harlingen,Small Box,2273,Debra Block,Corporate,Office Supplies,"Belkin 325VA UPS Surge Protector, 6'",10182,2013-05-03,90109,Low,78550,Central,23416,2013-05-03,Regular Air,Texas,0,0.04,Acceptable,1,17,0.6,1390,0.6902,2014,4,121,0.6901688182720953,81.76470588235294
Paper,South Portland,Small Box,2509,Sidney Larson,Home Office,Office Supplies,Xerox 1951,10233,2013-05-03,87029,Medium,4106,East,21918,2013-05-03,Regular Air,Maine,0,0.05,Acceptable,1,15,0.4,309,0.6674,463,9,31,0.6673866090712743,20.6
Telephones and Communication,Harlingen,Small Pack,2273,Debra Block,Corporate,Technology,Accessory36,10699,2013-05-03,90109,Low,78550,Central,23417,2013-05-03,Regular Air,Texas,0,0.02,Poor,1,4,0.83,-223,-1.1095,201,5,56,-1.109452736318408,-55.75
Appliances,Grand Rapids,Jumbo Drum,2380,Lisa Branch,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10977,2013-05-03,86655,Low,49505,Central,18152,2013-05-05,Delivery Truck,Michigan,2,0.08,Poor,1,17,0.41,-1070,-0.9208,1162,60,69,-0.9208261617900172,-62.94117647058823
Appliances,New York City,Jumbo Drum,2382,Geoffrey Saunders,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10977,2013-05-03,962,Low,10024,East,152,2013-05-05,Delivery Truck,New York,2,0.08,Poor,1,68,0.41,-1070,-0.2301,4650,60,69,-0.23010752688172043,-15.735294117647058
Binders and Binder Accessories,Garden City,Small Box,2379,Mildred Briggs,Small Business,Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,10837,2013-05-03,86655,Low,48135,Central,18151,2013-05-05,Regular Air,Michigan,2,0.06,Acceptable,1,12,0.37,1020,0.6901,1478,20,123,0.6901217861975643,85.0
Binders and Binder Accessories,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,10837,2013-05-03,962,Low,10024,East,151,2013-05-05,Regular Air,New York,2,0.06,Acceptable,1,48,0.37,1408,0.2382,5911,20,123,0.23819996616477754,29.333333333333332
Office Furnishings,Houston,Jumbo Drum,2274,Marlene Harrison,Corporate,Furniture,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",10995,2013-05-03,90109,Low,77036,Central,23418,2013-05-07,Delivery Truck,Texas,4,0.05,Poor,1,12,0.62,-134,-0.4482,299,16,24,-0.44816053511705684,-11.166666666666666
Paper,Richmond,Wrap Bag,2420,Wesley Cho,Consumer,Office Supplies,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",11253,2013-05-04,86752,High,23223,South,25271,2013-05-04,Regular Air,Virginia,0,0.04,Poor,1,11,0.4,-23,-0.2277,101,2,9,-0.22772277227722773,-2.090909090909091
Tables,New York City,Jumbo Box,1416,Betsy Gibson,Small Business,Furniture,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,10515,2013-05-04,90538,Critical,10024,East,25129,2013-05-05,Delivery Truck,New York,1,0.02,Poor,1,1,0.79,-635,-1.3482,471,75,417,-1.3481953290870488,-635.0
Paper,Tampa,Small Box,3338,Constance Robertson,Consumer,Office Supplies,Xerox 212,11209,2013-05-05,85979,High,33614,South,21429,2013-05-05,Regular Air,Florida,0,0.08,Acceptable,1,7,0.37,59,1.3111,45,8,6,1.3111111111111111,8.428571428571429
Binders and Binder Accessories,Slidell,Small Box,3248,Earl Donnelly,Small Business,Office Supplies,Wilson Jones Suede Grain Vinyl Binders,10491,2013-05-05,87297,High,70458,South,18265,2013-05-06,Regular Air,Louisiana,1,0.07,Poor,1,17,0.36,-341,-7.2553,47,1,3,-7.25531914893617,-20.058823529411764
Computer Peripherals,Hilton Head Island,Small Pack,1997,Harriet Bowman,Consumer,Technology,Maxell DVD-RAM Discs,10434,2013-05-05,90334,Medium,29915,South,19581,2013-05-06,Regular Air,South Carolina,1,0.01,Acceptable,1,7,0.42,740,6.0163,123,2,16,6.016260162601626,105.71428571428571
Paper,Louisville,Wrap Bag,2962,Leonard Strauss,Consumer,Office Supplies,Wirebound Voice Message Log Book,10728,2013-05-05,88611,High,80027,West,20390,2013-05-07,Express Air,Colorado,2,0.07,Acceptable,1,10,0.39,33,0.6875,48,1,5,0.6875,3.3
Telephones and Communication,Southbury,Small Box,1725,Linda Blake,Corporate,Technology,Accessory35,11124,2013-05-05,87193,High,6488,East,18244,2013-05-07,Regular Air,Connecticut,2,0.05,Acceptable,1,9,0.55,149,0.5687,262,1,36,0.5687022900763359,16.555555555555557
Computer Peripherals,Strongsville,Small Box,3077,Lynne Reid,Small Business,Technology,Gyration Ultra Professional Cordless Optical Suite,10791,2013-05-05,88239,Medium,44136,East,23816,2013-05-07,Regular Air,Ohio,2,0.07,Poor,1,2,0.48,-808,-1.3883,582,7,301,-1.388316151202749,-404.0
Computer Peripherals,Philadelphia,Small Box,3079,Andrew Levine,Small Business,Technology,Gyration Ultra Professional Cordless Optical Suite,10791,2013-05-05,41253,Medium,19112,East,5816,2013-05-07,Regular Air,Pennsylvania,2,0.07,Poor,1,7,0.48,-808,-0.3965,2038,7,301,-0.39646712463199213,-115.42857142857143
Computer Peripherals,Newport News,Small Box,2063,Todd D Norris,Corporate,Technology,Gyration Ultra Professional Cordless Optical Suite,10791,2013-05-06,87147,Low,23602,South,25759,2013-05-06,Regular Air,Virginia,0,0.06,Poor,1,1,0.48,-730,-2.5086,291,7,301,-2.508591065292096,-730.0
Office Furnishings,Los Gatos,Small Box,453,George Terry,Corporate,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",10367,2013-05-06,86011,Not Specified,95032,West,22318,2013-05-08,Regular Air,California,2,0.03,Poor,1,1,0.54,-41,-1.2813,32,8,29,-1.28125,-41.0
Envelopes,Independence,Small Box,2187,Joanne Spivey,Corporate,Office Supplies,Brown Kraft Recycled Envelopes,11010,2013-05-06,89440,High,64055,Central,19008,2013-05-08,Regular Air,Missouri,2,0.09,Poor,1,5,0.35,-49,-0.5632,87,12,17,-0.5632183908045977,-9.8
Envelopes,New York City,Small Box,2189,Frank Cross,Corporate,Office Supplies,Brown Kraft Recycled Envelopes,11010,2013-05-06,7364,High,10177,East,1008,2013-05-08,Regular Air,New York,2,0.09,Poor,1,22,0.35,-49,-0.1283,382,12,17,-0.12827225130890052,-2.227272727272727
Paper,North Olmsted,Small Box,2883,Stuart Sharma,Consumer,Office Supplies,Xerox 227,10629,2013-05-07,87632,Critical,44070,East,18694,2013-05-07,Regular Air,Ohio,0,0.05,Poor,1,9,0.37,-121,-2.0167,60,9,6,-2.0166666666666666,-13.444444444444445
Paper,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,Xerox 227,10629,2013-05-07,4839,Critical,28206,South,694,2013-05-07,Regular Air,North Carolina,0,0.05,Poor,1,35,0.37,-160,-0.6867,233,9,6,-0.6866952789699571,-4.571428571428571
Computer Peripherals,Asheboro,Small Pack,1650,Dan Lamm,Corporate,Technology,"Sony MFD2HD Formatted Diskettes, 10/Pack",10344,2013-05-07,91042,High,27203,South,24016,2013-05-07,Regular Air,North Carolina,0,0.05,Acceptable,1,15,0.71,15,0.1596,94,3,6,0.1595744680851064,1.0
Labels,Asheboro,Small Box,1650,Dan Lamm,Corporate,Office Supplies,Avery 485,11153,2013-05-07,91042,High,27203,South,24017,2013-05-08,Regular Air,North Carolina,1,0.09,Acceptable,1,7,0.38,15,0.1829,82,1,13,0.18292682926829268,2.142857142857143
Telephones and Communication,Asheboro,Small Box,1650,Dan Lamm,Corporate,Technology,i270,10269,2013-05-07,91042,High,27203,South,24019,2013-05-09,Express Air,North Carolina,2,0.08,Poor,1,8,0.55,-135,-0.3237,417,9,66,-0.3237410071942446,-16.875
Computer Peripherals,Oakville,Small Pack,2820,Laurence Simon,Home Office,Technology,"Sony MFD2HD Formatted Diskettes, 10/Pack",10344,2013-05-08,87899,Low,63129,Central,24373,2013-05-10,Regular Air,Missouri,2,0.08,Poor,1,18,0.71,-83,-0.7281,114,3,6,-0.7280701754385965,-4.611111111111111
Tables,Bossier City,Jumbo Box,2464,Joe George,Consumer,Furniture,Hon Rectangular Conference Tables,10846,2013-05-09,88713,High,71111,South,25860,2013-05-09,Delivery Truck,Louisiana,0,0.08,Poor,1,16,0.68,-570,-0.2,2850,32,228,-0.2,-35.625
Envelopes,Reston,Small Box,1693,Melinda Thornton,Consumer,Office Supplies,"#10 White Business Envelopes,4 1/8 x 9 1/2",10992,2013-05-09,90190,Low,20190,South,21262,2013-05-09,Express Air,Virginia,0,0.01,Poor,1,11,0.38,-274,-1.4574,188,1,16,-1.4574468085106382,-24.90909090909091
Storage & Organization,Oxford,Small Box,1609,Jerry Ennis,Consumer,Office Supplies,Filing/Storage Totes and Swivel Casters,10779,2013-05-09,87824,High,1540,East,22683,2013-05-09,Regular Air,Massachusetts,0,0.03,Poor,1,2,0.6,-37,-1.5417,24,9,10,-1.5416666666666667,-18.5
Binders and Binder Accessories,Oxford,Small Box,1609,Jerry Ennis,Consumer,Office Supplies,Peel & Stick Add-On Corner Pockets,11044,2013-05-09,87824,High,1540,East,22682,2013-05-10,Regular Air,Massachusetts,1,0.03,Poor,1,7,0.37,-91,-5.3529,17,6,2,-5.352941176470588,-13.0
Office Furnishings,Bossier City,Small Pack,2464,Joe George,Consumer,Furniture,"Eldon Regeneration Recycled Desk Accessories, Smoke",11114,2013-05-09,88713,High,71111,South,25859,2013-05-11,Express Air,Louisiana,2,0.09,Acceptable,1,4,0.53,608,60.8,10,4,2,60.8,152.0
Binders and Binder Accessories,Boston,Small Box,2935,Shirley Riley,Small Business,Office Supplies,Durable Pressboard Binders,10935,2013-05-09,87617,Low,2215,East,24995,2013-05-13,Regular Air,Massachusetts,4,0.02,Acceptable,1,5,0.38,7,0.35,20,1,4,0.35,1.4
Chairs & Chairmats,Corvallis,Medium Box,1267,Rosemary Branch,Corporate,Furniture,SAFCO Folding Chair Trolley,10798,2013-05-10,89515,Not Specified,97330,West,21848,2013-05-11,Regular Air,Oregon,1,0.08,Poor,1,3,0.0,-379,-1.0355,366,13,128,-1.03551912568306,-126.33333333333333
Pens & Art Supplies,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,Newell 321,10445,2013-05-10,86838,Medium,55372,Central,24846,2013-05-11,Regular Air,Minnesota,1,0.08,Poor,1,7,0.56,-24,-1.0909,22,2,3,-1.0909090909090908,-3.4285714285714284
Pens & Art Supplies,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,Newell 351,10446,2013-05-10,86838,Medium,55372,Central,24847,2013-05-11,Regular Air,Minnesota,1,0.05,Poor,1,4,0.56,-37,-2.6429,14,4,3,-2.642857142857143,-9.25
Rubber Bands,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",10447,2013-05-10,86838,Medium,55372,Central,24848,2013-05-11,Regular Air,Minnesota,1,0.05,Poor,1,4,0.36,-1,-0.0714,14,2,4,-0.07142857142857142,-0.25
Office Furnishings,Prior Lake,Small Box,14,Gwendolyn F Tyson,Small Business,Furniture,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,10635,2013-05-10,86838,Medium,55372,Central,24844,2013-05-12,Regular Air,Minnesota,2,0.09,Acceptable,1,16,0.43,803,0.6899,1164,20,79,0.6898625429553265,50.1875
Paper,Bettendorf,Wrap Bag,1826,Kate Peck,Corporate,Office Supplies,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",10539,2013-05-10,86959,Medium,52722,Central,18199,2013-05-12,Regular Air,Iowa,2,0.0,Poor,1,1,0.38,-8,-0.7273,11,4,9,-0.7272727272727273,-8.0
Computer Peripherals,Corvallis,Small Pack,1267,Rosemary Branch,Corporate,Technology,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",10796,2013-05-10,89515,Not Specified,97330,West,21849,2013-05-12,Regular Air,Oregon,2,0.04,Poor,1,11,0.75,-1522,-21.7429,70,4,6,-21.742857142857144,-138.36363636363637
Envelopes,Naugatuck,Small Box,578,Evan K Bullard,Corporate,Office Supplies,Multimedia Mailers,10290,2013-05-11,88644,Medium,6770,East,18664,2013-05-12,Regular Air,Connecticut,1,0.03,Acceptable,1,3,0.39,293,0.5678,516,20,163,0.5678294573643411,97.66666666666667
"Scissors, Rulers and Trimmers",Concord,Small Pack,585,William Larson,Corporate,Office Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",10750,2013-05-11,88644,Medium,3301,East,18663,2013-05-12,Regular Air,New Hampshire,1,0.06,Poor,1,12,0.56,-68,-0.4,170,8,14,-0.4,-5.666666666666667
Paper,Deer Park,Wrap Bag,1085,Ted Dunlap,Corporate,Office Supplies,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",11184,2013-05-11,86124,Not Specified,11729,East,23105,2013-05-12,Regular Air,New York,1,0.02,Acceptable,1,8,0.38,207,0.6923,299,5,38,0.6923076923076923,25.875
Telephones and Communication,Auburn,Small Pack,580,Kathryn Patrick,Corporate,Technology,Accessory6,10987,2013-05-11,88644,Medium,4210,East,18662,2013-05-12,Regular Air,Maine,1,0.01,Poor,1,12,0.8,-58,-0.1003,578,5,56,-0.10034602076124567,-4.833333333333333
Rubber Bands,Oxford,Wrap Bag,1389,Jean Khan,Small Business,Office Supplies,Staples Metal Binder Clips,11223,2013-05-11,88728,High,1540,East,19852,2013-05-13,Express Air,Massachusetts,2,0.08,Acceptable,1,12,0.39,22,0.6875,32,1,3,0.6875,1.8333333333333333
Envelopes,Seymour,Small Box,579,Marlene Abrams,Corporate,Office Supplies,"Peel & Seel® Recycled Catalog Envelopes, Brown",11180,2013-05-11,88644,Medium,6478,East,18665,2013-05-13,Regular Air,Connecticut,2,0.01,Poor,1,2,0.35,-7,-0.28,25,6,12,-0.28,-3.5
Computer Peripherals,Deer Park,Small Box,1085,Ted Dunlap,Corporate,Technology,"Fellowes Internet Keyboard, Platinum",10397,2013-05-11,86124,Not Specified,11729,East,23104,2013-05-13,Regular Air,New York,2,0.06,Poor,1,10,0.74,-159,-0.5146,309,9,30,-0.5145631067961165,-15.9
Paper,Texarkana,Small Box,910,Carla Hauser,Corporate,Office Supplies,Xerox 1954,10325,2013-05-12,90187,Critical,71854,South,19480,2013-05-12,Regular Air,Arkansas,0,0.0,Poor,1,15,0.4,-149,-1.7529,85,6,5,-1.7529411764705882,-9.933333333333334
Computer Peripherals,Glendale,Small Pack,353,Bonnie Chambers,Home Office,Technology,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",10762,2013-05-12,89647,Low,85301,West,19107,2013-05-12,Express Air,Arizona,0,0.08,Poor,1,17,0.66,-165,-1.9412,85,5,5,-1.9411764705882353,-9.705882352941176
Telephones and Communication,Santa Rosa,Small Box,156,Diana Xu,Corporate,Technology,T60,10440,2013-05-12,87671,Critical,95404,West,22329,2013-05-13,Regular Air,California,1,0.01,Acceptable,1,13,0.56,714,0.68,1050,5,96,0.68,54.92307692307692
Paper,Glendale,Small Box,353,Bonnie Chambers,Home Office,Office Supplies,Xerox 1898,10956,2013-05-12,89647,Low,85301,West,19108,2013-05-19,Regular Air,Arizona,7,0.07,Poor,1,16,0.37,-141,-1.3429,105,7,7,-1.3428571428571427,-8.8125
Binders and Binder Accessories,Wilkinsburg,Small Box,1023,Glen Newman,Small Business,Office Supplies,Ibico Recycled Linen-Style Covers,10055,2013-05-13,88633,Critical,15221,East,18921,2013-05-13,Regular Air,Pennsylvania,0,0.02,Acceptable,1,16,0.37,442,0.6895,641,11,39,0.6895475819032761,27.625
Office Furnishings,Oxford,Small Box,21,Tony Wilkins Winters,Small Business,Furniture,DAX Natural Wood-Tone Poster Frame,11100,2013-05-13,41793,High,1540,East,5890,2013-05-14,Regular Air,Massachusetts,1,0.05,Acceptable,1,70,0.49,384,0.2046,1877,7,26,0.20458177943526903,5.485714285714286
Office Furnishings,Helena,Small Box,18,Laurie Hanna,Small Business,Furniture,DAX Natural Wood-Tone Poster Frame,11100,2013-05-13,90031,High,59601,West,23890,2013-05-14,Regular Air,Montana,1,0.05,Acceptable,1,17,0.49,314,0.6886,456,7,26,0.6885964912280702,18.470588235294116
Binders and Binder Accessories,Wilkinsburg,Small Box,1023,Glen Newman,Small Business,Office Supplies,Vinyl Sectional Post Binders,10625,2013-05-13,88633,Critical,15221,East,18922,2013-05-14,Regular Air,Pennsylvania,1,0.1,Acceptable,1,18,0.35,455,0.6894,660,3,38,0.6893939393939394,25.27777777777778
Computer Peripherals,Holladay,Small Box,1989,David Weaver,Corporate,Technology,Belkin ErgoBoard™ Keyboard,11239,2013-05-13,90001,High,84117,West,20554,2013-05-14,Regular Air,Utah,1,0.01,Poor,1,11,0.64,46,0.1267,363,7,31,0.12672176308539945,4.181818181818182
Pens & Art Supplies,Irving,Wrap Bag,494,Jimmy Alston Holder,Consumer,Office Supplies,Newell 343,10576,2013-05-13,88905,Medium,75061,Central,19147,2013-05-15,Regular Air,Texas,2,0.08,Poor,1,6,0.58,-2,-0.1176,17,1,3,-0.11764705882352941,-0.3333333333333333
Pens & Art Supplies,Oxford,Wrap Bag,491,Toni Swanson,Consumer,Office Supplies,Newell 343,10576,2013-05-13,8353,Medium,1540,East,1147,2013-05-15,Regular Air,Massachusetts,2,0.08,Poor,1,23,0.58,-2,-0.0299,67,1,3,-0.029850746268656716,-0.08695652173913043
"Scissors, Rulers and Trimmers",Garden City,Wrap Bag,3041,Carrie Duke,Corporate,Office Supplies,"*Staples* vLetter Openers, 2/Pack",10147,2013-05-13,86102,Not Specified,67846,Central,19382,2013-05-15,Regular Air,Kansas,2,0.02,Poor,1,8,0.83,-21,-0.7,30,1,4,-0.7,-2.625
